Common Name,Genus,Species
Lahontan Redside,Richardsonius,egregius
Striped Bass,Morone,saxatilis
Sockeye Salmon,Oncorhynchus,nerka
Fluffy Sculpin,Oligocottus,snyderi
Owens Tui Chub,Siphateles,bicolor snyderi
Chameleon Goby,Tridentiger,trigonocephalus
Rosylip Sculpin,Ascelichthys,rhodorus
Diamond turbot,Pleuronichthys,guttulatus
Dwarf Surfperch,Micrometrus,minimus
Jack Silverside,Atherinopsis,californiensis
White surfperch,Phanerodon,furcatus
Arrow Goby,Clevelandia,ios
English sole,Parophrys,vetulus
Redtail surfperch,Amphistichus,rhodoterus
White Sturgeon,Acipenser,transmontanus
Golden Shiner,Notemigonus,crysoleucas
Coastal Roach,Hesperoleucus,venustus
Smoothhead Sculpin,Artedius,lateralis
Tahoe sucker,Catostomus,tahoensis
Warmouth,Lepomis,gulosus
Hitch,Lavinia,exilicauda
Black Crappie,Pomoxis,nigromaculatus
Mosshead Sculpin,Clinocottus,globiceps
Pacific Sardine,Sardinops,sagax
Kern River Rainbow Trout,Oncorhynchus,mykiss gilberti
Mountain Whitefish,Prosopium,williamsoni
Amur Carp,Cyprinus,rubrofuscus
Bocaccio,Sebastes,paucispinis
White Catfish,Ameiurus,catus
Yellowtail Rockfish,Sebastes,flavidus
Crevice Kelpfish,Gibbonsia,montereyensis
Grass Rockfish,Sebastes,rastrelliger
Spotted Kelpfish,Gibbonsia,elegans
Blue Rockfish,Sebastes,mystinus
Rosy Sculpin,Oligocottus,rubellio
Saddleback Sculpin,Oligocottus,rimensis
Redear Sunfish,Lepomis,microlophus
Black surfperch,Embiotoca,jacksoni
Opaleye,Girella,nigricans
Rubberlip surfperch,Rhacochilus,toxotes
Halfmoon,Medialuna,californiensis
Ocean Whitefish,Caulolatilus,princeps
Threadfin Shad,Dorosoma,petenense
Blacksmith Chromis,Chromis,punctipinnis
Pile surfperch,Phanerodon,vacca
Pacific Chub Mackerel,Scomber,japonicus
Pacific Salmons and Trouts,Oncorhynchus,Oncorhynchus
Rock Eel,Xiphister,mucosus
Longjaw Mudsucker,Gillichthys,mirabilis
copper rockfish,Sebastes,caurinus
Blackeye goby,Rhinogobiops,nicholsii
Black Basses,Micropterus,Micropterus
Reef surfperch,Micrometrus,aurora
Lahontan Cutthroat Trout,Oncorhynchus,henshawi
California Lizardfish,Synodus,lucioceps
Lahontan Speckled Dace,Rhinichthys,nevadensis robustus
China Rockfish,Sebastes,nebulosus
olive rockfish,Sebastes,serranoides
Calico Surfperch,Amphistichus,koelzi
Goldfish,Carassius,auratus
Pacific Jack Mackerel,Trachurus,symmetricus
Tule Perch,Hysterocarpus,traskii
Walleye Surfperch,Hyperprosopon,argenteum
Notchbrow Blenny,Hypsoblennius,gilberti
Mussel Blenny,Hypsoblennius,jenkinsi
Bullheads,Ameiurus,Ameiurus
Bay Blenny,Hypsoblennius,gentilis
Stripefin Ronquil,Rathbunella,alleni
Saddleback Gunnel,Pholis,ornata
Onespot Fringehead,Neoclinus,uninotatus
Spotted Cusk-eel,Chilara,taylori
California Grunion,Leuresthes,tenuis
California Tonguefish,Symphurus,atricauda
California sheephead,Bodianus,pulcher
Kelp Bass,Paralabrax,clathratus
C-O Sole,Pleuronichthys,coenosus
kelp rockfish,Sebastes,atrovirens
Kelp Surfperch,Brachyistius,frenatus
Pacific Hake,Merluccius,productus
Sacramento Speckled Dace,Rhinichthys,klamathensis achomawi
Graveldiver,Scytalina,cerdale
Finescale Triggerfish,Balistes,polylepis
Slimy Snailfish,Liparis,mucosus
Shokihaze goby,Tridentiger,barbatus
White croaker,Genyonemus,lineatus
Coralline Sculpin,Artedius,corallinus
speckled sanddab,Citharichthys,stigmaeus
tubesnout,Aulorhynchus,flavidus
Wolf Eel,Anarrhichthys,ocellatus
Tidepool Snailfish,Liparis,florae
Treefish,Sebastes,serriceps
Snubnose Sculpin,Orthonopias,triacis
White Seabass,Atractoscion,nobilis
Sacramento Splittail,Pogonichthys,macrolepidotus
Skipjack Tuna,Katsuwonus,pelamis
Sarcastic Fringehead,Neoclinus,blanchardi
Yelloweye rockfish,Sebastes,ruberrimus
Longfin Sculpin,Jordania,zonope
Sacramento Perch,Archoplites,interruptus
Coastal Cutthroat Trout,Oncorhynchus,clarkii
American Shad,Alosa,sapidissima
Bald Sculpin,Clinocottus,recalvus
Common Sunfishes,Lepomis,Lepomis
Fathead Minnow,Pimephales,promelas
Silver surfperch,Hyperprosopon,ellipticum
Sacramento Redband Trout,Oncorhynchus,mykiss stonei
Delta Smelt,Hypomesus,transpacificus
Longfin Smelt,Spirinchus,thaleichthys
Rosy Rockfish,Sebastes,rosaceus
Zebra Tilapia,Heterotilapia,buettikoferi
Giant Sea Bass,Stereolepis,gigas
Spotted Bass,Micropterus,punctulatus
Eastern Pacific Bonito,Sarda,chiliensis
Rainbow Seaperch,Embiotoca,caryi
Whalesucker,Remora,australis
Striped Mullet,Mugil,cephalus
Squarespot rockfish,Sebastes,hopkinsi
Bonehead Sculpin,Artedius,notospilotus
Pacific Sardine,Sardinops,sagax caerulea
Chum Salmon,Oncorhynchus,keta
Pacific Viperfish,Chauliodus,macouni
Speckled rockfish,Sebastes,ovalis
Lake Trout,Salvelinus,namaycush
Canary Rockfish,Sebastes,pinniger
California Scorpionfish,Scorpaena,guttata
Calico Rockfish,Sebastes,dallii
Yellow Perch,Perca,flavescens
Sailfin Sculpin,Nautichthys,oculofasciatus
Starry Rockfish,Sebastes,constellatus
Halfbanded rockfish,Sebastes,semicinctus
Blue Lanternfish,Tarletonbeania,crenularis
Kelp Clingfish,Rimicola,muscarum
Dixie Valley Tui Chub,Siphateles,bicolor ssp. 9
Longnose Lancetfish,Alepisaurus,ferox
Lahontan Lake Tui Chub,Siphateles,bicolor pectinifer
Tui Chub,Siphateles,bicolor
Pumpkinseed,Lepomis,gibbosus
Brown Bullhead,Ameiurus,nebulosus
Red-bellied Pacu,Piaractus,brachypomus
Yellowfin fringehead,Neoclinus,stephensae
Inland Riffle Sculpin,Cottus,gulosus
White Bass,Morone,chrysops
Pacific Pompano,Peprilus,simillimus
Greenspotted Rockfish,Sebastes,chlorostictus
Blacktail Snailfish,Careproctus,melanurus
Pacific Dover Sole,Microstomus,pacificus
Sablefish,Anoplopoma,fimbria
Flag Rockfish,Sebastes,rubrivinctus
Quillback Rockfish,Sebastes,maliger
Tench,Tinca,tinca
Death Valley Pupfish,Cyprinodon,salinus
Tiger Rockfish,Sebastes,nigrocinctus
Sharpnose Sculpin,Clinocottus,acuticeps
Rosybrown Snailfish,Liparis,adiastolus
Queenfish,Seriphus,politus
Widow Rockfish,Sebastes,entomelas
Rockhead,Bothragonus,swanii
Roughscale Grenadier,Coryphaenoides,acrolepis
Sacramento blackfish,Orthodon,microlepidotus
Rock greenling,Hexagrammos,lagocephalus
Grunt Sculpin,Rhamphocottus,richardsonii
Tadpole Snailfish,Nectoliparis,pelagicus
Northern Lampfish,Stenobrachius,leucopsarus
Pygmy Poacher,Odontopyxis,trispinosa
Scalyhead Sculpin,Artedius,harringtoni
Japanese Pond Smelt,Hypomesus,nipponensis
Bull Sculpin,Enophrys,taurina
Cui-ui,Chasmistes,cujus
Greenstriped Rockfish,Sebastes,elongatus
Pacific Sand Lance,Ammodytes,personatus
Stripetail Rockfish,Sebastes,saxicola
Klamath Speckled Dace,Rhinichthys,klamathensis klamathensis
Red Hills Roach,Hesperoleucus,symmetricus serpentinus
Red Irish Lord,Hemilepidotus,hemilepidotus
Petrale sole,Eopsetta,jordani
Giant Seahorse,Hippocampus,ingens
Rock sole,Lepidopsetta,bilineata
Curlfin Sole,Pleuronichthys,decurrens
Western Speckled Dace,Rhinichthys,klamathensis
Albacore,Thunnus,alalunga
Hoodwinker Mola,Mola,tecta
Spotfin surfperch,Hypocritichthys,analis
Green Sturgeon,Acipenser,medirostris
Sharpnose surfperch,Phanerodon,atripes
Redeye Bass,Micropterus,coosae
Broadbill Swordfish,Xiphias,gladius
Kelp Gunnel,Ulvicola,sanctaerosae
Brook Trout (Brook),Salvelinus,fontinalis fontinalis
Deacon Rockfish,Sebastes,diaconus
Ribbon Prickleback,Phytichthys,chirus
Eagle Lake Rainbow Trout,Oncorhynchus,mykiss aquilarum
Longspine Combfish,Zaniolepis,latipinnis
Zebra-perch Sea Chub,Kyphosus,azureus
Southern Coastal Roach,Hesperoleucus,venustus subditus
Alabama Bass,Micropterus,henshalli
Rosethorn Rockfish,Sebastes,helvomaculatus
Darkblotched Rockfish,Sebastes,crameri
Blackgill Rockfish,Sebastes,melanostomus
Redbanded Rockfish,Sebastes,babcocki
Surf Smelt,Hypomesus,pretiosus
Pacific Tomcod,Microgadus,proximus
Blind Goby,Typhlogobius,californiensis
Medusafish,Icichthys,lockingtoni
Zebra Goby,Lythrypnus,zebra
Pacific Snake Eel,Ophichthus,triserialis
Owens Sucker,Catostomus,fumeiventris
Little Kern Golden Trout,Oncorhynchus,mykiss whitei
Owens Pupfish,Cyprinodon,radiosus
Gualala Roach,Hesperoleucus,parvipinnis
Manacled Sculpin,Synchirus,gilli
Speckled Dace,Rhinichthys,osculus
Red Shiner,Cyprinella,lutrensis
Basketweave cusk-eel,Ophidion,scrippsae
Lahontan Sucker,Pantosteus,lahontan
Mosshead Warbonnet,Chirolophis,nugator
Giant Grenadier,Coryphaenoides,pectoralis
Giant Kelpfish,Heterostichus,rostratus
Sacramento Tule perch,Hysterocarpus,traskii traskii
Masked prickleback,Ernogrammus,walkeri
Lahontan Creek Tui Chub,Siphateles,bicolor obesa
Northern Coastal Roach,Hesperoleucus,venustus navarroensis
Yellow Bullhead,Ameiurus,natalis
California clingfish,Gobiesox,rhessodon
Pit-Head Sculpin,Icelinus,cavifrons
Pajaro/Salinas Hitch,Lavinia,exilicauda harengus
Calico Sculpin,Clinocottus,embryum
Red Brotula,Brosmophycis,marginata
Coastal Riffle Sculpin,Cottus,ohlone
Spotted Turbot,Pleuronichthys,ritteri
Klamath Smallscale Sucker,Catostomus,rimiculus
King-of-the-salmon,Trachipterus,altivelis
Fish Lake Valley Tui Chub,Siphateles,bicolor 4
Cheekspot Goby,Ilypnus,gilberti
Night Smelt,Spirinchus,starksi
Pacific Barracuda,Sphyraena,argentea
Pacific Halibut,Hippoglossus,stenolepis
Redstripe Rockfish,Sebastes,proriger
Cowcod,Sebastes,levis
Lower Klamath Marbled Sculpin,Cottus,klamathensis polyporus
Modoc Sucker,Catostomus,microps
Garibaldi,Hypsypops,rubicundus
Mississippi Silverside,Menidia,audens
Pacific Bluefin Tuna,Thunnus,orientalis
California Killifish,Fundulus,parvipinnis
Bluefin Killifish,Lucania,goodei
Silverspotted Sculpin,Blepsias,cirrhosus
Monterey Sucker,Catostomus,occidentalis mnioltiltus
Crisscross Prickleback,Plagiogrammus,hopkinsii
Marbled Sculpin,Cottus,klamathensis
Large-scale Loach,Misgurnus,dabryanus
Pacific Saury,Cololabis,saira
McCloud River Redband Trout,Oncorhynchus,mykiss calisulat
Salt Creek Pupfish,Cyprinodon,salinus salinus
Slender Sole,Lyopsetta,exilis
Rex Sole,Glyptocephalus,zachirus
Bigeye Poacher,Bathyagonus,pentacanthus
Shortspine Thornyhead,Sebastolobus,alascanus
Arrowtooth Flounder,Atheresthes,stomias
Bigfin Eelpout,Lycodes,cortezianus
Greenblotched Rockfish,Sebastes,rosenblatti
Longfin Sanddab,Citharichthys,xanthostigma
Jaguar Guapote,Parachromis,managuensis
Pricklebreast Poacher,Stellerina,xyosterna
Pacific Pomfret,Brama,japonica
butter sole,Isopsetta,isolepis
White Crappie,Pomoxis,annularis
Northern Bluegill,Lepomis,macrochirus macrochirus
Halfblind Goby,Lethops,connectens
Oriental Weatherfish,Misgurnus,anguillicaudatus
Blue Catfish,Ictalurus,furcatus
Pacific Capelin,Mallotus,catervarius
Florida Largemouth Bass,Micropterus,floridanus
Pinkrose Rockfish,Sebastes,simulator
Longspined Porcupinefish,Diodon,holocanthus
Splitnose Rockfish,Sebastes,diploproa
Slipskin Snailfish,Liparis,fucensis
Threadfin Sculpin,Icelinus,filamentosus
Crescent gunnel,Pholis,laeta
Variable Platyfish,Xiphophorus,variatus
Coppernose Bluegill,Lepomis,macrochirus purpurascens
Arbiter Snailfish,Careproctus,kamikawai
